# DFF generated LAMMPS data file

1728 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2  atom types
0  bond types
0  angle types
0  dihedral types
0  improper types

      0.0000      28.8912   xlo xhi
      0.0000      28.8912   ylo yhi
     -0.0000      28.8912   zlo zhi

Masses

           1     40.0780   #   ca0+
           2     15.9994   #   o_

Atoms

         248         248           2     0.00000     0.00000    24.07600     2.40760	      #     O248
         249         249           1     2.00000     4.81520    24.07600    -0.00000	      #     Ca249
         250         250           1     2.00000     4.81520    26.48360     2.40760	      #     Ca250
         251         251           1     2.00000     7.22280    24.07600     2.40760	      #     Ca251
         252         252           1     2.00000     7.22280    26.48360    -0.00000	      #     Ca252
         253         253           2     0.00000     7.22280    26.48360     2.40760	      #     O253
         254         254           2     0.00000     7.22280    24.07600    -0.00000	      #     O254
         255         255           2     0.00000     4.81520    26.48360    -0.00000	      #     O255
         256         256           2     0.00000     4.81520    24.07600     2.40760	      #     O256
         257         257           1     2.00000     9.63040    24.07600    -0.00000	      #     Ca257
         258         258           1     2.00000     9.63040    26.48360     2.40760	      #     Ca258
         259         259           1     2.00000    12.03800    24.07600     2.40760	      #     Ca259
         260         260           1     2.00000    12.03800    26.48360    -0.00000	      #     Ca260
         261         261           2     0.00000    12.03800    26.48360     2.40760	      #     O261
         262         262           2     0.00000    12.03800    24.07600    -0.00000	      #     O262
         263         263           2     0.00000     9.63040    26.48360    -0.00000	      #     O263
         264         264           2     0.00000     9.63040    24.07600     2.40760	      #     O264
         265         265           1     2.00000    14.44560    24.07600    -0.00000	      #     Ca265
         266         266           1     2.00000    14.44560    26.48360     2.40760	      #     Ca266
         267         267           1     2.00000    16.85320    24.07600     2.40760	      #     Ca267
         268         268           1     2.00000    16.85320    26.48360    -0.00000	      #     Ca268
         269         269           2     0.00000    16.85320    26.48360     2.40760	      #     O269
         270         270           2     0.00000    16.85320    24.07600    -0.00000	      #     O270
         271         271           2     0.00000    14.44560    26.48360    -0.00000	      #     O271
         272         272           2     0.00000    14.44560    24.07600     2.40760	      #     O272
         273         273           1     2.00000    19.26080    24.07600    -0.00000	      #     Ca273
         274         274           1     2.00000    19.26080    26.48360     2.40760	      #     Ca274
         275         275           1     2.00000    21.66840    24.07600     2.40760	      #     Ca275
         276         276           1     2.00000    21.66840    26.48360    -0.00000	      #     Ca276
         277         277           2     0.00000    21.66840    26.48360     2.40760	      #     O277
         278         278           2     0.00000    21.66840    24.07600    -0.00000	      #     O278
         279         279           2     0.00000    19.26080    26.48360    -0.00000	      #     O279
         280         280           2     0.00000    19.26080    24.07600     2.40760	      #     O280
         281         281           1     2.00000    24.07600    24.07600    -0.00000	      #     Ca281
         282         282           1     2.00000    24.07600    26.48360     2.40760	      #     Ca282
         283         283           1     2.00000    26.48360    24.07600     2.40760	      #     Ca283
         284         284           1     2.00000    26.48360    26.48360    -0.00000	      #     Ca284
         285         285           2     0.00000    26.48360    26.48360     2.40760	      #     O285
         286         286           2     0.00000    26.48360    24.07600    -0.00000	      #     O286
         287         287           2     0.00000    24.07600    26.48360    -0.00000	      #     O287
         288         288           2     0.00000    24.07600    24.07600     2.40760	      #     O288
         289         289           1     2.00000     0.00000     0.00000     4.81520	      #     Ca289
         290         290           1     2.00000     0.00000     2.40760     7.22280	      #     Ca290
         291         291           1     2.00000     2.40760     0.00000     7.22280	      #     Ca291
         292         292           1     2.00000     2.40760     2.40760     4.81520	      #     Ca292
         293         293           2     0.00000     2.40760     2.40760     7.22280	      #     O293
         294         294           2     0.00000     2.40760     0.00000     4.81520	      #     O294
         295         295           2     0.00000     0.00000     2.40760     4.81520	      #     O295
         296         296           2     0.00000     0.00000     0.00000     7.22280	      #     O296
         297         297           1     2.00000     4.81520     0.00000     4.81520	      #     Ca297
